Tweet,Created_at,Year,Month,City,Sentiment,Emotion,Dominant Topic
my professor said as we left dont get the coronavirus,2020-02-28,2020,2,"Long Beach,CA",neutral,sadness,Topic 3
dog tryna give her coronavirus,2020-02-28,2020,2,"Long Beach,CA",neutral,anger,Topic 2
niggas singing with guns aint scary the coronavirus is,2020-02-28,2020,2,"Long Beach,CA",positive,anger,Topic 2
they puttin coronavirus in the ketchup dispensers in mcdonalds,2020-02-28,2020,2,"Long Beach,CA",neutral,anger,Topic 4
sacramento-area college students exposed to coronavirus patient,2020-02-28,2020,2,"Long Beach,CA",negative,sadness,Topic 4
a northern california woman who may be the first case of community spread of the coronavirus is in serious condition and has been intubated. via,2020-02-28,2020,2,"Long Beach,CA",negative,sadness,Topic 4
ted cruz tried to mock aoc's scientific knowledge it didn't end well,2020-02-28,2020,2,"Long Beach,CA",negative,anger,Topic 3
"a white supremacist in charge of american communications? we're fucked, and by 'we' i mean non-whites.",2020-02-28,2020,2,"Long Beach,CA",negative,anger,Topic 3
welcome to nebraska. its not for everyone unless you have coronavirus.,2020-02-07,2020,2,"Omaha,NE",positive,anger,Topic 4
"wow. now the cdc is saying corona is more contagious than sars, but not as dangerous. it gave msm something to bury the impeachment acquittal, but no longer so important so it fades.",2020-02-11,2020,2,"Omaha,NE",positive,anger,Topic 3
this person is currently going through additional testing at another quarantine unit. officials say she is very cooperative and has tolerated the additional testing well.,2020-02-14,2020,2,"Omaha,NE",positive,optimism,Topic 4
"the person sent to unmc from the coronavirus quarantine site at camp ashland is an adult woman. her only symptom, so far, is a mild cough, but the cdc says its threshold for sending people to the hospital is low. full livestream is up right now on facebook page.",2020-02-14,2020,2,"Omaha,NE",negative,sadness,Topic 4
ben kavanaugh: the coronavirus and me,2020-02-17,2020,2,"Omaha,NE",neutral,anger,Topic 3
"first ebola, now coronavirus. why an omaha hospital gets the toughest cases.",2020-02-20,2020,2,"Omaha,NE",negative,anger,Topic 4
im right there with you too! feel like i might have coronavirus!!,2020-02-25,2020,2,"Omaha,NE",positive,sadness,Topic 2
just a reminder to everyone how trump felt about us medical personnel abroad during the ebola crisis. how would you feel if he was turning away your relatives due to ?,2020-02-26,2020,2,"Omaha,NE",negative,sadness,Topic 2
"if this corona virus could go away and stop destroying my stocks, id appreciate that.",2020-02-27,2020,2,"Omaha,NE",negative,anger,Topic 2
the way you catch things you got corona- packard our boba talks are the only talks that matter bro,2020-02-29,2020,2,"Omaha,NE",positive,anger,Topic 2
the first u.s. death from,2020-02-29,2020,2,"Raleigh,NC",negative,sadness,Topic 4
"fighting , style!",2020-02-29,2020,2,"Raleigh,NC",negative,anger,Topic 1
me when cdc says spread is inevitable but also no need to panic...,2020-02-29,2020,2,"Raleigh,NC",negative,optimism,Topic 3
"so, on thursday, trump puts pence in charge of managing the coronavirus. on saturday trump calls the virus a hoax. logically then, pence is now managing a hoax - finally something that he should be adept at.",2020-02-29,2020,2,"Raleigh,NC",negative,anger,Topic 3
"i hate how people aren't buying coronas just cause the virus it's called ""corona virus"" blaming it on the beer",2020-02-29,2020,2,"Raleigh,NC",negative,anger,Topic 2
this press conference is coming from the white house briefing room. it is rare the president has held one there in his tenure so far.,2020-02-29,2020,2,"Raleigh,NC",neutral,anger,Topic 3
happening soon- president will hold a press conference. the first person has now died from the watch live on,2020-02-29,2020,2,"Raleigh,NC",negative,sadness,Topic 4
"at this point, im not convinced the president knows the definition of the word hoax.",2020-02-29,2020,2,"Raleigh,NC",negative,anger,Topic 3
"biden today in nc on trumps handling of the coronavirus: everything, everything he does and says is about him. it's never about the american people...if you can believe it, today he said the coronavirus was a democratic hoax, it's not just that it's so stupid and foolish.",2020-02-29,2020,2,"Raleigh,NC",negative,anger,Topic 3
". the coronavirus is real. get your information from cdc, the nihs dr fauci, the mayo clinic and major american universities. not gov institutions engaged in misinformation and denials.",2020-02-29,2020,2,"Raleigh,NC",negative,anger,Topic 4
thanks idiots!!,2020-03-30,2020,3,"Kansas City,MO",positive,anger,Topic 1
your loyalists are seeing a % increase in cases under their leadership. your loyalty requirement comes at a very bigely cost.,2020-03-30,2020,3,"Kansas City,MO",positive,anger,Topic 4
just in time for corona ! rt to save a life,2020-03-30,2020,3,"Kansas City,MO",positive,optimism,Topic 1
what are your thoughts on the corona virus? is this man made?,2020-03-30,2020,3,"Kansas City,MO",neutral,sadness,Topic 2
my cousin and her husband are kicking the corona virus' ass.,2020-03-30,2020,3,"Kansas City,MO",negative,anger,Topic 2
"great that you work to protect dreamers. however focus should also be on black communities, foundational to the american dream. i asked the same of so far no answer...",2020-03-30,2020,3,"Kansas City,MO",positive,optimism,Topic 3
economic fallout from coronavirus casts pall over budget planning for johnson county government via,2020-03-31,2020,3,"Kansas City,MO",neutral,sadness,Topic 3
"what about sending ppe supplies to china? ""i've felt it was a pandemic long before it was called a pandemic,"" trump insisted",2020-03-31,2020,3,"Kansas City,MO",neutral,anger,Topic 3
"me, when going out to look for toilet paper during quarantine:",2020-03-31,2020,3,"Kansas City,MO",neutral,sadness,Topic 2
same. i need to get my tolerance down somehow and corona is messing that up,2020-03-31,2020,3,"Kansas City,MO",positive,sadness,Topic 2
hate to state the obvious but if bernie was elected back in wed prly be wrapping up with covid quarantining around now instead of just now ramping it up. the disease is preying on our broken system. feels like watching a slow motion car crash.,2020-03-30,2020,3,"Long Beach,CA",negative,anger,Topic 3
my late husband was a news junky. he would have been all over this covid-19. he was always my information booth and seemed to know something about almost everything without being arrogant. now i stay informed the best i can.,2020-03-30,2020,3,"Long Beach,CA",positive,joy,Topic 2
"my mother, despite being at high risk for covid-19, continues to work at a nursing home because they were short staffed before this began and since it has she has said someone has to do it, might as well be her. but i worry for her every day.",2020-03-30,2020,3,"Long Beach,CA",negative,sadness,Topic 2
abc news jonathan karl on the troubling aspects of the trump show during coronavirus crisis q&amp;a via,2020-03-30,2020,3,"Long Beach,CA",negative,sadness,Topic 3
danielle zoellner: coronavirus: hospital worker shares video of bodies being loaded into huge trucks in new york as state death toll passes via,2020-03-30,2020,3,"Long Beach,CA",negative,sadness,Topic 4
due to covid-19 people are now using thyme as weed. it is well!,2020-03-30,2020,3,"Long Beach,CA",positive,optimism,Topic 2
"'los angeles suicide hotline has received upwards of calls in march - times the previous month - over fears of getting coronavirus and related anxiety about eviction, inability to pay bills and losing loved ones.'",2020-03-30,2020,3,"Long Beach,CA",negative,sadness,Topic 1
"'conditions are deteriorating at laguna honda hospital and rehab center, a long-term-care facility in s.f. nine employees of the large facility hadtested positive as well as two patients.'",2020-03-30,2020,3,"Long Beach,CA",positive,sadness,Topic 4
what the nba can learn from china's attempt to restart basketball during the coronavirus pandemic,2020-03-30,2020,3,"Long Beach,CA",neutral,anger,Topic 4
thinking back to the good times when we did not have to social distance due to covid-19 and could comfortably be in close proximity to others in stores. in this photo (from /19) im with my pure partners ali,2020-03-30,2020,3,"Long Beach,CA",positive,joy,Topic 1
unmc is finding coronavirus in the air in the hallways outside of positive patients rooms.,2020-03-29,2020,3,"Omaha,NE",positive,sadness,Topic 1
unmc is the nebraska hospital that treated ebola and the original coronavirus cruise ship patients. unmc study finds new evidence of covid-19 surface contamination,2020-03-29,2020,3,"Omaha,NE",positive,sadness,Topic 4
"hardly testing anyone, just over tests done, yet % of tests are positive. tests out of our state's population of almost million is %. symptomatic people are begging to be tested on the local news. positive covid-19 cases reach in nebraska",2020-03-29,2020,3,"Omaha,NE",positive,sadness,Topic 2
trump proudly: million coronavirus tests done! that's /3 of % of the us population. of americans tested is nothing to brag about.,2020-03-30,2020,3,"Omaha,NE",positive,joy,Topic 3
"just a few days ago trump was predicting an easter miracle with churches filled and an american resurrection. instead, there's going to be an easter spike of american coronavirus cases and deaths.",2020-03-30,2020,3,"Omaha,NE",positive,joy,Topic 3
"most of the trump supporters i know aren't talking about some fantasy spin on how great trump is at handling this pandemic. they're talking about the reality of their lost jobs, business closures, ira losses, and all the people that they know who died of coronavirus this week.",2020-03-30,2020,3,"Omaha,NE",negative,sadness,Topic 3
"""nearly a dozen liberty university students have covid-19 symptoms after school reopened, nyt reports""",2020-03-30,2020,3,"Omaha,NE",positive,sadness,Topic 4
"ralph was a great guy, he would buy me lunch after every closing when we worked together, always trying to recruit me to his company.",2020-03-31,2020,3,"Omaha,NE",positive,joy,Topic 2
"along with the rest of us, trump lets down the military too. exclusive: captain of aircraft carrier with growing coronavirus outbreak pleads for help from navy",2020-03-31,2020,3,"Omaha,NE",positive,sadness,Topic 3
one future: you survived coronavirus with severe lung damage only to get taken out by trump's poisonous auto emissions.,2020-03-31,2020,3,"Omaha,NE",negative,anger,Topic 2
"unless the cure for covid-19 is steroids in the ass, i dont get this.",2020-03-28,2020,3,"Raleigh,NC",negative,anger,Topic 2
"nc covid-19 info cases in nc (85,356 in us) deaths in nc (1,246 in us) the us now leads the world in total cases in italy % of people who tested positive had severe/critical illness wake stay-at-home order in effect (with exceptions). staying home saves lives",2020-03-28,2020,3,"Raleigh,NC",positive,sadness,Topic 4
"needs to have his head examined. mr. falwell a staunch ally of president trump... reopened the university last week, igniting a firestorm. as of friday... nearly a dozen liberty students were sick with symptoms that suggest covid-19,",2020-03-29,2020,3,"Raleigh,NC",positive,anger,Topic 4
"actions are incredibly dangerous! mr. falwell a staunch ally of president trump... reopened the university last week, igniting a firestorm. as of friday... nearly a dozen liberty students were sick with symptoms that suggest covid-19",2020-03-29,2020,3,"Raleigh,NC",negative,anger,Topic 4
congress passed a major expansion of unemployment insurance benefits giving jobless workers an extra $600 per week. unless the makes long overdue changes to our ui program thousands will be left out &amp; well miss out on billions of dollars.,2020-03-29,2020,3,"Raleigh,NC",positive,sadness,Topic 3
i enjoyed talking with of . we talked about the need to make immediate changes to ncs unemployment insurance program to help those affected by the . please listen to this interview to learn more.,2020-03-29,2020,3,"Raleigh,NC",positive,optimism,Topic 4
please join senator for a virtual town hall meeting on covid-19. thursday april nd at :00pm. please rsvp today!,2020-03-30,2020,3,"Raleigh,NC",positive,optimism,Topic 4
medicaid expansion will save lives in north carolina! expansion would mean health care for over . states w/o expansion have significantly worse health care outcomes. those disparities will be even greater with the pandemic.,2020-03-30,2020,3,"Raleigh,NC",positive,sadness,Topic 4
"hi! im only working part time until i get into med school (and just lost my job) so i could definitely use some help with groceries/rent!? i also volunteer as an emt when they let me (its been tough with covid going around). i have venmo, anything helps!",2020-03-31,2020,3,"Raleigh,NC",positive,sadness,Topic 2
know your rights! emergency paid sick days. family and medical leave. unemployment insurance. right to a safe and healthy workplace.,2020-03-31,2020,3,"Raleigh,NC",negative,anger,Topic 2
this would time with stories a vaccine in england is currently being tested and could be ready in september.,2020-04-27,2020,4,"Kansas City,MO",positive,optimism,Topic 4
oh and the boat angle is a life goal we have a small sailboat in a lake now we plan on a big one in the caribbean...the mao corona has put a dent in the savings that would have led to a launch,2020-04-28,2020,4,"Kansas City,MO",neutral,optimism,Topic 2
maybe keep track of whether mao corona deaths spike? they didn't after almost /2 million people in wisconsin voted weeks ago... fear of death or love of life,2020-04-28,2020,4,"Kansas City,MO",negative,sadness,Topic 3
so fear of getting sick is how you decide? have you always avoided people? new york city solutions aren't necessary where there are more suicides and overdoses than mao corona deaths,2020-04-28,2020,4,"Kansas City,MO",negative,sadness,Topic 1
my question that never has been answered is haven't more people died of other causes than mao corona this year,2020-04-28,2020,4,"Kansas City,MO",positive,sadness,Topic 2
it'll mao corona,2020-04-28,2020,4,"Kansas City,MO",neutral,joy,Topic 2
fear of death should not crush love of living as bad as mao corona is more people have died of cancer in the last two months k to k the whole country doesn't need the same solution as nyc,2020-04-29,2020,4,"Kansas City,MO",negative,sadness,Topic 1
"so mao corona is really bad... especially in the tri state area, but do the numbers justify closing down the rest of the country?",2020-04-29,2020,4,"Kansas City,MO",neutral,sadness,Topic 3
chairs cause mao corona,2020-04-29,2020,4,"Kansas City,MO",neutral,joy,Topic 2
"he said nothing about positive tests, which depends on number of tests he talked about deaths reported due to mao corona vs population we can't know how many have it, but we're pretty good a identifying when someone is dead except for trump bucks and voting that is",2020-04-30,2020,4,"Kansas City,MO",positive,sadness,Topic 2
this is my cousins story...from the literal handful of family i have left...this virus isn't a joke... united state of america,2020-04-30,2020,4,"Long Beach,CA",negative,anger,Topic 1
psa: my covid-19 experience () via,2020-04-30,2020,4,"Long Beach,CA",neutral,joy,Topic 4
never site youtube videos as proof. but check out the usc/la dept. of health study and the stanford study. both show covid was spreading in dec. meaning a ton of people had it and didnt die but now we live in a state of fear because there has been misinformation on both sides!,2020-04-30,2020,4,"Long Beach,CA",negative,sadness,Topic 4
"economist thomas piketty: coronavirus pandemic has exposed the ""violence of social inequality""",2020-04-30,2020,4,"Long Beach,CA",negative,sadness,Topic 3
"this ! this is the first drop in my time capsules series, thats why its all pills! hope yall ready to rock with me every friday for a new vaccine! drop some below if",2020-04-30,2020,4,"Long Beach,CA",positive,joy,Topic 2
"such an amazing concept! big ups to and !!! as always, this story is a must read",2020-04-30,2020,4,"Long Beach,CA",positive,joy,Topic 4
"respect mother nature. she always bats last, and she always bats . great hbr podcast with tom friedman. via",2020-04-30,2020,4,"Long Beach,CA",positive,joy,Topic 2
a letter from covid-19: :,2020-04-30,2020,4,"Long Beach,CA",neutral,optimism,Topic 3
testing and mandate divide. our story tonight: los angeles becomes first city to offer free coronavirus testing via,2020-04-30,2020,4,"Long Beach,CA",positive,optimism,Topic 4
"so everyone in the world knows to wear a mask into a hospital to protect the medically vulnerable except the head of the covid task force? well if that's not the stupidest mfer on the planet, who is? i mean besides presidiot pennywise who, you know, appointed his dumbass?",2020-04-30,2020,4,"Long Beach,CA",positive,anger,Topic 1
will more of this cure coronavirus?,2020-04-25,2020,4,"Omaha,NE",neutral,optimism,Topic 2
week of february and that covid-19 can cause a massive heat attack by literally bursting the heart. we should conduct an autopsy on all heart attack deaths weeks prior to this new date and any other deaths of the types identified from these studies that could mask covid-19.,2020-04-28,2020,4,"Omaha,NE",negative,sadness,Topic 4
"update on covid-19, the us now comprises /3 of all cases worldwide. deaths have risen to over k. we will likely top k this week. we have tested around % of our population. we are at a % death rate. we also learned today that covid-19 was in the country the first",2020-04-28,2020,4,"Omaha,NE",negative,sadness,Topic 4
"midwestern states see biggest jumps in new covid-19 cases. see the latest news, statistics, maps and visualizations of the coronavirus pandemic, in the u.s. and around the globe.",2020-04-28,2020,4,"Omaha,NE",neutral,optimism,Topic 4
my uncle was being treated for pancreatic cancer &amp; had to stop his chemo weeks ago because he's in a high covid-19 area. he went into hospice yesterday. he's my father's youngest brother &amp; his last living sibling. they grew up extremely poor on a sharecropping tobacco farm.,2020-04-28,2020,4,"Omaha,NE",negative,sadness,Topic 1
"equality, and your decree to infringe on workers right to life and for them to receive equal treatment per the federal covid-19 laws are unconstitutional and unlawful. any governor that thinks it is wise to reopen any state at this point had best find themselves medical and",2020-04-29,2020,4,"Omaha,NE",positive,anger,Topic 3
coronavirus deaths in georgia surpass as state reopens,2020-04-29,2020,4,"Omaha,NE",neutral,sadness,Topic 4
i toadally have corona,2020-04-30,2020,4,"Omaha,NE",neutral,joy,Topic 1
"omaha, ne covid-19 cases skyrocketing yet restaurants, salons, etc getting ready to open back up. there wasn't an official quarantine in place just specific business closures, restaurants, gyms, salons, etc and the curve never really flattened.",2020-04-30,2020,4,"Omaha,NE",positive,anger,Topic 4
". bolo auto stolen on test drive from sports &amp; imports th &amp; maple. purple chevie monte carlo with silver stripes, has dealer advert tags. call and pete at sports &amp; imports if spotted. covid-19 unaccompanied test drive policy failure, round .",2020-04-30,2020,4,"Omaha,NE",negative,anger,Topic 4
fucked around and started talking to a hood nigga wow. what a turn of events corona has been.,2020-04-30,2020,4,"Raleigh,NC",negative,anger,Topic 2
register now for the four-part webinar series to hear the results and analyses of survey in the upcoming covid-19 survey webinar series | rti,2020-04-30,2020,4,"Raleigh,NC",neutral,joy,Topic 4
gilead to work with partners to ramp up production of potential coronavirus treatment | article [amp] | reuters,2020-04-30,2020,4,"Raleigh,NC",neutral,optimism,Topic 4
"since covid-19, a number of older adults have moved in w/ their adult children, to help with grandkids, remain close to family; some even from nh to home. will the change ltc as we know it? will more older adults live with &amp; be cared for by families?",2020-04-30,2020,4,"Raleigh,NC",positive,sadness,Topic 4
"and in real news, still not enough test kits for covid-19.",2020-04-30,2020,4,"Raleigh,NC",neutral,sadness,Topic 2
so...our may concert at has been cancelled due to ... we are working out a possible fall date. yall hang in there &amp; the will return...enjoy,2020-04-30,2020,4,"Raleigh,NC",negative,optimism,Topic 4
"recap: negotiations head into the night as , , &amp; work towards compromise relief package. vote could come as early as tomorrow - if theres an agreement.",2020-04-30,2020,4,"Raleigh,NC",positive,optimism,Topic 3
"developing: protesters, some carrying firearms, storm michigan capitol as state lawmakers debate an extension of gov. whitmers state of emergency in response to the coronavirus pandemic.",2020-04-30,2020,4,"Raleigh,NC",negative,anger,Topic 3
at least in nursing homes in nc dealing with coronavirus outbreaks,2020-04-30,2020,4,"Raleigh,NC",neutral,sadness,Topic 1
no new flu deaths reported for rd straight week as covid-19 deaths ramp up across nc,2020-04-30,2020,4,"Raleigh,NC",negative,sadness,Topic 4
same...feeling very conflicted. drove by yesterday and literally wanted to jump out and join but also....corona,2020-05-30,2020,5,"Kansas City,MO",positive,sadness,Topic 2
"ate out at a public dine-in restaurant for the st time since the covid-19 pandemic quarantine ended, which began over /2 months ago, which was days ago, or weeks days, or",2020-05-30,2020,5,"Kansas City,MO",neutral,sadness,Topic 1
covid protocol went out the door,2020-05-30,2020,5,"Kansas City,MO",neutral,anger,Topic 1
game of covid frisbee going on behind westport high.,2020-05-30,2020,5,"Kansas City,MO",neutral,joy,Topic 1
"still increasing cases of coronavirus, increasing number of deaths, a beloved man being murdered by police, millions out of jobs, people going hungry. yea, our country is doing well.",2020-05-31,2020,5,"Kansas City,MO",positive,sadness,Topic 3
and i'm scared. am i going to be able to come to work in the morning? are my guests going to feel comfortable going out with covid-19 and militaristic police tactics? are you going to offer compensation for this?,2020-05-31,2020,5,"Kansas City,MO",positive,anger,Topic 2
ppl putting covid on the back burner right now,2020-05-31,2020,5,"Kansas City,MO",neutral,anger,Topic 2
protests gonna spread covid through populations most at risk by our systemic racism. this is all awful.,2020-05-31,2020,5,"Kansas City,MO",negative,anger,Topic 3
when covid gets retired you and yours need to come to dinner.,2020-05-31,2020,5,"Kansas City,MO",neutral,anger,Topic 2
"if you dont want to be down there on the plaza because covid, kids at home, dont want to get maced, then donate",2020-05-31,2020,5,"Kansas City,MO",negative,anger,Topic 2
the fact that i live in a country where this is happening makes me sick. people were yelling in cops faces and pointing fingers protesting covid and tactics like this were not used. this man literally had his hands up.,2020-05-31,2020,5,"Long Beach,CA",negative,anger,Topic 2
"i have decided to go. this is just too important to sit out, even with the coronavirus.",2020-05-31,2020,5,"Long Beach,CA",positive,optimism,Topic 3
i want to go to the protest but i am worried covid-19 will easily spread at the event.,2020-05-31,2020,5,"Long Beach,CA",negative,anger,Topic 3
"abc pushed the bogus and criminal russia collusion hoax, the criminal flynn prosecution, supported the fisa scum, the bonus ukrainian quid pro quo, the corrupt impeachment and the covid-19 miss information. why would i believe you about anything you report? fake news!",2020-05-31,2020,5,"Long Beach,CA",negative,anger,Topic 3
"so, the police, sheriffs, mayors, governors, congress and president let it all happen. the destruction of small businesses struggling to survive under covid, by anarchists.",2020-05-31,2020,5,"Long Beach,CA",negative,anger,Topic 3
"just like releasing prisoner due to covid-19. most have gone back to a full life of crime, against we the people. the far left think this is social justice heaven.",2020-05-31,2020,5,"Long Beach,CA",positive,anger,Topic 3
"the root of this movement/riot is not racism/discrimination/unfairness or any other sources, its just because of bad economy which caused by covid-19, a crisis began in wuhan, china. covid-19 is also known as chinese virus",2020-05-31,2020,5,"Long Beach,CA",negative,anger,Topic 3
i think you should sue the city and nypd if you get covid and all those unmasked in the cell,2020-05-31,2020,5,"Long Beach,CA",neutral,anger,Topic 1
"with covid-19 and the riots, is wild.",2020-05-31,2020,5,"Long Beach,CA",negative,anger,Topic 1
these protesters are cowards wearing their covid masks to hide their identity.,2020-05-31,2020,5,"Long Beach,CA",negative,anger,Topic 1
my heritage is eastern european and native american. my grandmother grew up embarrassed of her na blood line. idk what is the right/wrong way of dealing w corona. i wont pretend to. the shit coming out of these press/rallies is sad and embarrassing. im sad.,2020-05-23,2020,5,"Omaha,NE",negative,sadness,Topic 2
